year,industry1,industry2,job_vacancy
1993,services,financial intermediation,1600
1993,services,business and real estate services,2600
1993,services,"community, social and personal services",3200
1993,others,others,-
1994,manufacturing,"food, beverages and tobacco",400
1994,manufacturing,textile and wearing apparel,2000
1994,manufacturing,paper products and publishing,1000
1994,manufacturing,petroleum and chemical products,600
1994,manufacturing,rubber and plastic products,1100
1994,manufacturing,fabricated metal products,1700
1994,manufacturing,machinery and equipment,1400
1994,manufacturing,electrical products,700
1994,manufacturing,electronic products,6200
1994,manufacturing,medical and precision instruments,300
1994,manufacturing,transport equipment,2600
1994,manufacturing,other manufacturing industries,900
1994,construction,construction,3500
1994,services,wholesale and retail trade,3900
1994,services,hotels and restaurants,5600
1994,services,"transport, storage and communications",3600
1994,services,financial intermediation,2000
1994,services,business and real estate services,3000
1994,services,"community, social and personal services",3200
1994,others,others,-
1995,manufacturing,"food, beverages and tobacco",400
1995,manufacturing,textile and wearing apparel,1400
1995,manufacturing,paper products and publishing,900
1995,manufacturing,petroleum and chemical products,600
1995,manufacturing,rubber and plastic products,1400
1995,manufacturing,fabricated metal products,1800
1995,manufacturing,machinery and equipment,1400
1995,manufacturing,electrical products,600
1995,manufacturing,electronic products,7100
1995,manufacturing,medical and precision instruments,300
1995,manufacturing,transport equipment,2700
1995,manufacturing,other manufacturing industries,800
1995,construction,construction,4200
1995,services,wholesale and retail trade,4400
1995,services,hotels and restaurants,5800
1995,services,"transport, storage and communications",3700
1995,services,financial intermediation,2100
