"Time","Food..Beverages...Tobacco","Paper.Rubber.Plastic.Products...Printing","Petroleum..Chemical...Pharmaceutical.Products","Fabricated.Metal.Products..Machinery...Equipment","Electronic..Computer...Optical.Products","Transport.Equipment","Other.Manufacturing.Industries","Construction","Wholesale.Trade","Retail.Trade","Land.Transport...Supporting.Services","Water.Transport...Supporting.Services","Air.Transport...Supporting.Services","Other.Transportation...Storage.Services","Accommodation","Food...Beverage.Services","Telecommunications..Broadcasting...Publishing","IT...Other.Information.Services","Financial.Services","Insurance.Services","Real.Estate.Services","Legal..Accounting...Management.Services","Architectural...Engineering.Services","Other.Professional.Services","Security...Investigation","Cleaning...Landscaping","Other.Administrative...Support.Services","Public.Administration...Education","Health...Social.Services","Arts..Entertainment...Recreation","Other.Community..Social...Personal.Services","Others"
2019.25,695.833333333333,291.666666666667,733.333333333333,1179.16666666667,1937.5,1462.5,908.333333333333,3470.83333333333,3454.16666666667,2195.83333333333,579.166666666667,520.833333333333,1012.5,1512.5,1912.5,3625,695.833333333333,2950,4800,591.666666666667,1333.33333333333,2575,795.833333333333,691.666666666667,1512.5,1095.83333333333,1308.33333333333,5587.5,3637.5,770.833333333333,708.333333333333,412.5
2019.5,591.666666666667,187.5,600,1654.16666666667,1791.66666666667,1466.66666666667,658.333333333333,2191.66666666667,3200,2220.83333333333,458.333333333333,629.166666666667,1254.16666666667,1166.66666666667,2479.16666666667,4187.5,666.666666666667,3558.33333333333,5195.83333333333,850,1233.33333333333,2533.33333333333,1108.33333333333,354.166666666667,1241.66666666667,975,1216.66666666667,4783.33333333333,3579.16666666667,808.333333333333,904.166666666667,395.833333333333
2019.75,704.166666666667,204.166666666667,608.333333333333,1433.33333333333,1658.33333333333,870.833333333333,712.5,2270.83333333333,2991.66666666667,2079.16666666667,729.166666666667,512.5,679.166666666667,858.333333333333,1808.33333333333,3291.66666666667,675,4033.33333333333,4970.83333333333,608.333333333333,1145.83333333333,2641.66666666667,1145.83333333333,504.166666666667,1504.16666666667,1108.33333333333,1291.66666666667,5887.5,3691.66666666667,650,1087.5,287.5
2020,737.5,300,733.333333333333,1020.83333333333,1412.5,1500,500,1154.16666666667,3412.5,1866.66666666667,408.333333333333,641.666666666667,712.5,329.166666666667,1250,5050,587.5,4083.33333333333,3937.5,729.166666666667,1212.5,2129.16666666667,820.833333333333,516.666666666667,1341.66666666667,1320.83333333333,1537.5,5354.16666666667,3891.66666666667,291.666666666667,1520.83333333333,404.166666666667
2020.25,487.5,187.5,612.5,862.5,2158.33333333333,866.666666666667,950,1304.16666666667,3650,1950,283.333333333333,358.333333333333,358.333333333333,191.666666666667,737.5,2500,570.833333333333,4191.66666666667,3820.83333333333,825,1104.16666666667,1658.33333333333,825,295.833333333333,1020.83333333333,741.666666666667,1337.5,5054.16666666667,4016.66666666667,383.333333333333,358.333333333333,400
2020.5,487.5,179.166666666667,504.166666666667,545.833333333333,1650,112.5,808.333333333333,791.666666666667,3883.33333333333,1125,491.666666666667,233.333333333333,62.5,283.333333333333,737.5,3112.5,450,3320.83333333333,4016.66666666667,487.5,875,2158.33333333333,362.5,262.5,1475,1170.83333333333,1508.33333333333,6300,3212.5,495.833333333333,420.833333333333,387.5
2020.75,1054.16666666667,420.833333333333,383.333333333333,1208.33333333333,887.5,366.666666666667,929.166666666667,3725,3025,2233.33333333333,466.666666666667,437.5,54.1666666666667,854.166666666667,816.666666666667,3995.83333333333,608.333333333333,4512.5,4075,387.5,1208.33333333333,2695.83333333333,820.833333333333,375,1870.83333333333,1591.66666666667,1216.66666666667,7170.83333333333,4354.16666666667,854.166666666667,741.666666666667,404.166666666667
2021,1033.33333333333,408.333333333333,516.666666666667,1179.16666666667,1304.16666666667,470.833333333333,1050,5250,2975,2075,362.5,658.333333333333,33.3333333333333,995.833333333333,412.5,3800,729.166666666667,4316.66666666667,3279.16666666667,379.166666666667,987.5,2275,795.833333333333,500,1279.16666666667,1520.83333333333,954.166666666667,7529.16666666667,4779.16666666667,954.166666666667,795.833333333333,187.5
2021.25,808.333333333333,745.833333333333,470.833333333333,2520.83333333333,1725,1279.16666666667,1354.16666666667,6987.5,4287.5,2275,566.666666666667,1154.16666666667,41.6666666666667,1375,854.166666666667,4879.16666666667,916.666666666667,5383.33333333333,5045.83333333333,608.333333333333,1004.16666666667,2787.5,1212.5,816.666666666667,1637.5,1120.83333333333,1012.5,8512.5,4708.33333333333,1012.5,950,529.166666666667
2021.5,1491.66666666667,1520.83333333333,1033.33333333333,4675,3333.33333333333,2537.5,1450,12604.1666666667,5662.5,3350,1241.66666666667,950,666.666666666667,1737.5,716.666666666667,4566.66666666667,1354.16666666667,7866.66666666667,6741.66666666667,462.5,1550,4420.83333333333,2345.83333333333,670.833333333333,1829.16666666667,2387.5,2100,9987.5,5150,1091.66666666667,1220.83333333333,829.166666666667
